Reference;Costumer;Ship To;BU;Longeur
CNW45G90X150B;N.D;MCI;STE MCI;150
CNW50G70X200B;N.D;MCI;STE MCI;200
CNW50G70X300B;N.D;MCI;STE MCI;300
CNW50G70X300N;N.D;MCI;STE MCI;300
CNW50G90X150N;N.D;MCI;STE MCI;150
CNW50G90X200B;N.D;MCI;STE MCI;200
CNW50G90X200N;N.D;MCI;STE MCI;200
CNW50G90X300B;N.D;MCI;STE MCI;300
CNW50G90X300N;N.D;MCI;STE MCI;300
DS12S30MMX50M-W;N.D;MCI;STE MCI;50
DS12S50MMX50M-W;N.D;MCI;STE MCI;50
FYT-100N/423;N.D;MCI;STE MCI;30
FYT-200T/400;N.D;MCI;STE MCI;30
FYT-200T/401;N.D;MCI;STE MCI;30
FYT-200T/405;N.D;MCI;STE MCI;30
FYT-200T/424;N.D;MCI;STE MCI;30
FYT-200T/426;N.D;MCI;STE MCI;30
FYT-200T/431;N.D;MCI;STE MCI;30
FYT-200T/436;N.D;MCI;STE MCI;30
FYT-200T/438;N.D;MCI;STE MCI;30
FYT-200T/448;N.D;MCI;STE MCI;30
FYT-200T/449;N.D;MCI;STE MCI;30
FYT-200T/450;N.D;MCI;STE MCI;30
FYT-200T/451;N.D;MCI;STE MCI;30
FYT-200T/454;N.D;MCI;STE MCI;30
FYT-200T/456;N.D;MCI;STE MCI;30
FYT-200T/459;N.D;MCI;STE MCI;30
FYT-200T/465;N.D;MCI;STE MCI;30
FYT-200T/478;N.D;MCI;STE MCI;30
FYT-200T/493;N.D;MCI;STE MCI;30
FYT-200T/499;N.D;MCI;STE MCI;30
FYT-500T/426;N.D;MCI;STE MCI;20
FYT-500T/432;N.D;MCI;STE MCI;20
FYT-500T/433;N.D;MCI;STE MCI;20
FYT-500T/436;N.D;MCI;STE MCI;20
FYT-500T/448;N.D;MCI;STE MCI;20
FYT-500T/450;N.D;MCI;STE MCI;20
FYT-500T/454;N.D;MCI;STE MCI;20
FYT-500T/456;N.D;MCI;STE MCI;20
FYT-500T/499;N.D;MCI;STE MCI;20
FYT-800T/436;N.D;MCI;STE MCI;20
FYT-800T/454;N.D;MCI;STE MCI;20
FYT-800T/499;N.D;MCI;STE MCI;20
HMF-PO80M100CM;N.D;MCI;STE MCI;100
HMW023-P150CM;N.D;MCI;STE MCI;100
HNW40G100X150;N.D;MCI;STE MCI;150
HNW40G100X200;N.D;MCI;STE MCI;200
HNW40G100X300;N.D;MCI;STE MCI;300
NP30G140BL/RE;N.D;MCI;STE MCI;500
NP40G105BL/RE;N.D;MCI;STE MCI;300
NP40G120BL/ST;N.D;MCI;STE MCI;300
NP40G150BL/ST;N.D;MCI;STE MCI;300
NP40G70BL/RE;N.D;MCI;STE MCI;300
NP40G70BL/ST;N.D;MCI;STE MCI;300
NP40G75BL/RE;N.D;MCI;STE MCI;300
NP40G90BL/RE;N.D;MCI;STE MCI;300
NP40G90BL/ST;N.D;MCI;STE MCI;300
NP40G90NR/RE;N.D;MCI;STE MCI;300
NP50G70BL/505AD;N.D;MCI;STE MCI;150
NP50G70NR/505AD;N.D;MCI;STE MCI;150
NP50G90BL/505AD;N.D;MCI;STE MCI;150
NP50G90NR/505AD;N.D;MCI;STE MCI;150
NP60G120BL/ST;N.D;MCI;STE MCI;300
NP60G70BL/RE;N.D;MCI;STE MCI;300
NP60G90BL/RE;N.D;MCI;STE MCI;300
NP60G90BL/ST;N.D;MCI;STE MCI;300
SB60GR160X300N;N.D;MCI;STE MCI;300
SB75G100X200B;N.D;MCI;STE MCI;200
SB75G100X200N;N.D;MCI;STE MCI;200
TF50M;N.D;MCI;STE MCI;150
TF80M;N.D;MCI;STE MCI;150
WL26+24G70X200B;N.D;MCI;STE MCI;200
WL26+24G70X200N;N.D;MCI;STE MCI;200
WL38G120X300B;N.D;MCI;STE MCI;300
WL38G120X300N;N.D;MCI;STE MCI;300
WL38G70X200B;N.D;MCI;STE MCI;200
WL38G70X300B;N.D;MCI;STE MCI;300
WL38G90X200B;N.D;MCI;STE MCI;200
WL38G90X200N;N.D;MCI;STE MCI;200
WL38G90X300B;N.D;MCI;STE MCI;300
WL38G90X300N;N.D;MCI;STE MCI;300
WSF40M100CM;N.D;MCI;STE MCI;200
S-KMR-N-0.40MM;N.D;MCI;STE MCI;150
S-KMR-N-0.60MM;N.D;MCI;STE MCI;75
S-KMR-N-0.80MM;N.D;MCI;STE MCI;75
S-KMR-S-0.40MM;N.D;MCI;STE MCI;150
S-KMR-S-0.60MM;N.D;MCI;STE MCI;75
S-KMR-S-0.80MM;N.D;MCI;STE MCI;75
TNT70GRX200N;N.D;MCI;STE MCI;200
TNT70GRX200B;N.D;MCI;STE MCI;200
